Mes,Localidad,Nombre_localidad,Tipo_zona,Indice_ingreso,Poblacion,Vehiculos_km_millones,Lluvia_indice,Campana_seguridad,Cambio_metodologia,Accidentes_total,Accidentes_graves,Fallecidos,Tasa_accidentes_100k,Tasa_graves_100k,Tasa_fallecidos_100k,Tasa_accidentes_por_millon_vehkm
2024-05,D,Occidente,Urbana,Medio,601542,82.12,0.65,0,0,768,116,8,127.67,19.28,1.33,9.35
2024-05,E,Oriente,Mixta,Bajo,300464,36.29,0.81,0,0,448,67,5,149.1,22.3,1.66,12.34
2024-05,F,Periferia,Periurbana,Medio,910402,77.76,0.65,0,0,661,79,2,72.61,8.68,0.22,8.5
2024-06,A,Centro,Urbana,Alto,1198301,135.83,0.46,0,0,1163,141,6,97.05,11.77,0.5,8.56
2024-06,B,Norte,Urbana,Medio,747575,106.33,0.67,0,0,852,129,9,113.97,17.26,1.2,8.01
2024-06,C,Sur,Mixta,Bajo,449107,47.41,0.35,0,0,493,85,4,109.77,18.93,0.89,10.4
2024-06,D,Occidente,Urbana,Medio,599793,82.54,0.26,0,0,700,91,8,116.71,15.17,1.33,8.48
2024-06,E,Oriente,Mixta,Bajo,301910,37.38,0.27,0,0,368,61,1,121.89,20.2,0.33,9.84
2024-06,F,Periferia,Periurbana,Medio,898693,75.9,0.67,0,0,608,94,7,67.65,10.46,0.78,8.01
2024-07,A,Centro,Urbana,Alto,1205877,116.56,0.4,0,1,1040,141,11,86.24,11.69,0.91,8.92
2024-07,B,Norte,Urbana,Medio,750294,91.87,0.46,0,0,688,71,6,91.7,9.46,0.8,7.49
2024-07,C,Sur,Mixta,Bajo,452880,39.82,0.43,0,0,384,62,2,84.79,13.69,0.44,9.64
2024-07,D,Occidente,Urbana,Medio,601059,78.64,0.47,0,1,751,98,6,124.95,16.3,1.0,9.55
2024-07,E,Oriente,Mixta,Bajo,300321,33.74,0.56,0,0,385,75,7,128.2,24.97,2.33,11.41
2024-07,F,Periferia,Periurbana,Medio,900830,68.74,0.3,0,0,544,79,5,60.39,8.77,0.56,7.91
2024-08,A,Centro,Urbana,Alto,1202971,133.72,0.61,0,1,1264,196,20,105.07,16.29,1.66,9.45
2024-08,B,Norte,Urbana,Medio,750047,91.49,0.38,0,0,668,84,5,89.06,11.2,0.67,7.3
2024-08,C,Sur,Mixta,Bajo,451563,47.24,0.52,0,0,457,67,5,101.2,14.84,1.11,9.67
2024-08,D,Occidente,Urbana,Medio,601131,79.5,0.55,0,1,751,116,10,124.93,19.3,1.66,9.45
2024-08,E,Oriente,Mixta,Bajo,299576,35.69,0.28,0,0,353,67,4,117.83,22.36,1.34,9.89
2024-08,F,Periferia,Periurbana,Medio,896200,75.6,0.45,0,0,601,79,7,67.06,8.81,0.78,7.95
2024-09,A,Centro,Urbana,Alto,1201870,139.23,0.44,1,1,1146,123,2,95.35,10.23,0.17,8.23
2024-09,B,Norte,Urbana,Medio,750904,93.39,0.57,1,0,663,63,6,88.29,8.39,0.8,7.1
2024-09,C,Sur,Mixta,Bajo,452956,42.91,0.35,1,0,388,49,6,85.66,10.82,1.32,9.04
2024-09,D,Occidente,Urbana,Medio,598921,71.7,0.49,1,1,673,78,6,112.37,13.02,1.0,9.39
2024-09,E,Oriente,Mixta,Bajo,298812,39.07,0.59,1,0,404,79,7,135.2,26.44,2.34,10.34
2024-09,F,Periferia,Periurbana,Medio,898733,65.67,0.34,1,0,452,35,7,50.29,3.89,0.78,6.88
2024-10,A,Centro,Urbana,Alto,1200019,127.86,0.7,1,1,1154,171,8,96.17,14.25,0.67,9.03
2024-10,B,Norte,Urbana,Medio,751401,98.92,0.93,1,0,761,99,2,101.28,13.18,0.27,7.69
2024-10,C,Sur,Mixta,Bajo,450871,48.8,0.63,1,0,455,68,3,100.92,15.08,0.67,9.32
2024-10,D,Occidente,Urbana,Medio,601235,85.31,0.73,1,1,811,119,8,134.89,19.79,1.33,9.51
2024-10,E,Oriente,Mixta,Bajo,298467,35.08,0.8,1,0,379,62,1,126.98,20.77,0.34,10.8
2024-10,F,Periferia,Periurbana,Medio,899912,71.91,0.81,1,0,575,74,3,63.9,8.22,0.33,8.0
2024-11,A,Centro,Urbana,Alto,1198091,121.43,0.74,1,1,1080,142,4,90.14,11.85,0.33,8.89
2024-11,B,Norte,Urbana,Medio,747671,95.87,0.89,1,0,695,76,6,92.96,10.16,0.8,7.25
2024-11,C,Sur,Mixta,Bajo,449284,43.54,0.72,1,0,448,69,1,99.71,15.36,0.22,10.29
2024-11,D,Occidente,Urbana,Medio,595857,85.14,0.63,1,1,844,129,7,141.64,21.65,1.17,9.91
2024-11,E,Oriente,Mixta,Bajo,298554,35.63,0.66,1,0,354,52,3,118.57,17.42,1.0,9.94
2024-11,F,Periferia,Periurbana,Medio,896160,81.88,0.83,1,0,670,86,3,74.76,9.6,0.33,8.18
2024-12,A,Centro,Urbana,Alto,1196848,107.57,0.36,1,1,870,88,2,72.69,7.35,0.17,8.09
2024-12,B,Norte,Urbana,Medio,754296,83.21,0.17,1,0,494,48,4,65.49,6.36,0.53,5.94
2024-12,C,Sur,Mixta,Bajo,450066,39.42,0.28,1,0,324,52,4,71.99,11.55,0.89,8.22
2024-12,D,Occidente,Urbana,Medio,599910,71.28,0.19,1,1,596,61,2,99.35,10.17,0.33,8.36
2024-12,E,Oriente,Mixta,Bajo,299404,33.49,0.16,1,0,300,41,1,100.2,13.69,0.33,8.96
2024-12,F,Periferia,Periurbana,Medio,895127,66.0,0.28,1,0,459,44,1,51.28,4.92,0.11,6.95
